;date;justif_nb;price
0;20230901;1;3.25
1;20230901;2;5.25
2;20230901;3;4.25
3;20230901;4;3.25
4;20230907;1;3.25
5;20230907;2;6.25
6;20230907;3;3.25
7;20230907;4;3.25
8;20230907;5;4.25
9;20230908;1;5.25
10;20230908;2;5.25
11;20230908;3;3.25
12;20230911;1;4.25
13;20230911;2;4.25
14;20230911;3;3.25
15;20230911;4;4.75
16;20230912;1;5.25
17;20230912;2;6.25
18;20230912;3;6.25
19;20230913;1;5.25
20;20230913;2;6.25
21;20230913;3;3.25
22;20230913;4;5.25
23;20230914;1;5.25
24;20230914;2;5.25
25;20230914;3;4.25
26;20230914;4;5.25
27;20230915;1;5.25
28;20230915;2;5.25
29;20230915;3;6.25
30;20230915;4;4.25
31;20230918;1;4.25
32;20230918;2;6.25
33;20230918;3;6.25
34;20230918;4;3.25
35;20230919;1;6.25
36;20230919;2;7.75
37;20230919;3;5.25
38;20230919;4;5.25
39;20230919;5;5.25
40;20230920;1;3.25
41;20230920;2;6.25
42;20230920;3;4.25
43;20230921;1;4.25
44;20230921;2;4.25
45;20230921;3;6.25
46;20230921;4;4.25
47;20230922;1;4.75
48;20230922;2;6.25
49;20230922;3;4.75
50;20230922;4;6.25
51;20230925;1;4.25
52;20230926;1;3.25
53;20230926;2;3.25
54;20230926;3;6.25
55;20230927;1;5.25
56;20230927;2;6.25
57;20230927;3;5.25
58;20230929;1;4.25
59;20230929;2;3.25
60;20230929;3;5.25
61;20230929;4;4.25
62;20230929;5;5.25
