id;lat;lon
1;48.8396093;2.2614901
2;48.8402458;2.2579627
3;48.8493259;2.2669802
4;48.8445151;2.2661844
5;48.8511211;2.2681179
6;48.8410129;2.2576472
7;48.8481688;2.2671928
8;48.8366336;2.2638653
9;48.8502534;2.2668038
10;48.8384767;2.2591596
11;48.8656902;2.2793186
12;48.8565842;2.2630588
13;48.8468634;2.2592714
14;48.8389664;2.257701
15;48.8471833;2.2594638
16;48.8466758;2.2653883
17;48.8502493;2.2776273
18;48.8531681;2.2667571
19;48.8499643;2.2745706
20;48.8466655;2.2632166
21;48.8387763;2.2639624
22;48.846443;2.2630344
23;48.8464759;2.2709637
24;48.8451014;2.2636311
25;48.8391366;2.2606949
26;48.8450329;2.2599876
27;48.8478343;2.2737265
28;48.8408444;2.2631639
29;48.8476282;2.2689421
30;48.8441127;2.2584033
31;48.8464296;2.2595562
32;48.8494734;2.265764
33;48.8498893;2.2653718
34;48.8460747;2.2608564
35;48.8461454;2.269894
36;48.8385929;2.2618551
37;48.8471913;2.2739288
38;48.8431973;2.2642513
39;48.8451141;2.2557115
40;48.8497269;2.2719742
41;48.8538108;2.2652088
42;48.839056;2.3102357
43;48.848917;2.2749979
44;48.8493262;2.2709495
45;48.8483078;2.275473
46;48.8440808;2.2635636
47;48.8525494;2.2634938
48;48.852297;2.2748008
49;48.851939;2.2698386
50;48.8485673;2.2613772
51;48.8402047;2.256812
52;48.8524183;2.2642914
53;48.8497308;2.2689767
54;48.8424724;2.2645977
55;48.8485953;2.2640409
56;48.8423019;2.2661613
57;48.8434294;2.2602591
58;48.8478343;2.2737265
59;48.8479851;2.2610431
60;48.8423308;2.259359
61;48.8429297;2.2609148
62;48.8431943;2.2595851
63;48.8476014;2.26827
64;48.8489269;2.2745942
65;48.8523594;2.2682462
66;48.840796;2.2564144
67;48.8409222;2.2675763
68;48.8403288;2.258317
69;48.8448856;2.2709253
70;48.8764544;2.3113096
71;48.8678578;2.323091
72;48.8806731;2.3152952
73;48.8784498;2.3139265
74;48.8709634;2.3261114
75;48.8657399;2.304285
76;48.8704698;2.3105027
77;48.8673547;2.30338
78;48.8762336;2.3202623
79;48.8797756;2.3196206
80;48.8705299;2.3031567
81;48.8753127;2.3123244
82;48.8685732;2.3062558
83;48.8715094;2.3219788
84;48.8708723;2.3208078
85;48.87719;2.312731
86;48.8748233;2.3075226
87;48.8760939;2.3072848
88;48.8676761;2.3039482
89;48.8751679;2.3086103
90;48.8686046;2.325548
91;48.8683322;2.3033875
92;48.8685635;2.3237135
93;48.8750863;2.3065423
94;48.8664177;2.3099852
95;48.8793428;2.3201022
96;48.8685731;2.3254228
97;48.8741107;2.3164706
98;48.8686737;2.3231465
99;48.8723408;2.3259449
100;48.8760275;2.3030413
101;48.8690825;2.3042395
102;48.8740337;2.3194293
103;48.8651498;2.3022858
104;48.8723626;2.2994954
105;48.8729775;2.3264116
106;48.8676107;2.309926
107;48.8797362;2.3168675
108;48.8732663;2.3256206
109;48.8714777;2.3105747
110;48.8736007;2.3158535
111;48.8723794;2.3273861
112;48.8698333;2.302544
113;48.875481;2.3167352
114;48.8764495;2.3076303
115;48.880978;2.3190408
116;48.8807115;2.3204509
117;48.879641;2.3212145
118;48.873408;2.3217448
119;48.8693746;2.3033236
120;48.87638905;2.3197816668508446
121;48.8689525;2.3245398
122;48.8798136;2.3211417
123;48.8727591;2.3252263
124;48.8686746;2.3050081
125;48.8673502;2.324246
126;48.8735067;2.321919
127;48.8787152;2.3193283
128;48.8774433;2.3070518
129;48.8762165;2.3158059
130;48.8783819;2.315864
131;48.8676019;2.3022369
132;48.8796641;2.3181684
133;48.8699519;2.3268245
134;48.87091;2.3179861
135;48.8774412;2.3157088
136;48.8801404;2.3159233
137;48.8787059;2.3156106
138;48.8766943;2.3200823
139;48.8670745;2.302885
140;48.880632;2.3165995
141;48.8500929;2.3009891
142;48.8420391;2.2825784
143;48.8374581;2.2849979
144;48.8466349;2.2897169
145;48.8463298;2.2946412
146;48.8452849;2.2845461
147;48.8455011;2.278471
148;48.8517391;2.2980578
149;48.8460343;2.2957337
150;48.844701;2.2931309
151;48.8483401;2.2969697
152;48.8457607;2.280281
153;48.8424749;2.2836972
154;48.8400611;2.2869387
155;48.840245;2.2902166
156;48.8468053;2.2928852
157;48.8484498;2.2992309
158;48.8405731;2.2839795
159;48.8485966;2.28299
160;48.8417147;2.2916732
161;48.8423028;2.2898411
162;48.8399872;2.2833134
163;48.8416889;2.2909002
164;48.8436415;2.2948787
165;48.8534103;2.2914127
166;48.8428377;2.2762891
167;48.8412611;2.2809853
168;48.84516;2.2792174
169;48.837343;2.2899498
170;48.842022;2.281817
171;48.8388657;2.2749032
172;48.8375896;2.2892829
173;48.8403352;2.2780205
174;48.8492667;2.3013682
175;48.8488195;2.2966017
176;48.8529028;2.2900016
177;48.8526445;2.2929973
178;48.8521688;2.2893393
179;48.8487318;2.3023573
180;48.8384314;2.2895621
181;48.8447434;2.2801346
182;48.8527571;2.2927785
183;48.850229;2.2895758
184;48.8553008;2.2946828
185;48.8502958;2.296965
186;48.8570084;2.2920512
187;48.8488618;2.3008148
188;48.8478553;2.2963047
189;48.8415313;2.2892307
190;48.8486136;2.2831291
191;48.8428656;2.2812699
192;48.8440952;2.2796001
193;48.8368065;2.2840085
194;48.8431778;2.2776189
195;48.8433578;2.2788702
196;48.8508657;2.2959952
197;48.8366388;2.2824964
198;48.8522831;2.2922019
199;48.8463391;2.2860604
200;48.8428561;2.2776801
201;48.8503775;2.2986874
202;48.8422328;2.2773246
203;48.8441769;2.279336
204;48.8430914;2.280107
205;48.8423042;2.2807083
206;48.8459236;2.2874406
207;48.8418667;2.2778659
208;48.8478454;2.3005711
209;48.8449727;2.2905057
210;48.8502317;2.3005546
211;48.8508653;2.3001967
212;48.8480403;2.2933309
213;48.8502887;2.2999942
214;48.8507123;2.2999707
215;48.8434159;2.2830545
216;48.8463483;2.292054
217;48.8504324;2.2871854
218;48.8533767;2.2979965
219;48.8488188;2.2894547
220;48.8405914;2.2863745
221;48.8496963;2.2984934
222;48.8404231;2.2859563
223;48.8480463;2.2904784
224;48.8417337;2.2821122
225;48.8417337;2.2821122
226;48.8467749;2.2967528
227;48.8388844;2.288821
228;48.8503041;2.3011511
229;48.8452578;2.2945015
230;48.8454284;2.2944162
231;48.8441769;2.279336
232;48.8466301;2.2971292
233;48.8455323;2.2879748
234;48.8518466;2.2995764
235;48.8503399;2.2945661
236;48.8517143;2.2997814
237;48.8473243;2.2787733
