id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
35;2023-07-20 10:30:00;[Timestamp('2023-07-20 10:30:00')];;RDV;;OUI;;08:30-12:00(R);14:30-18:00(R);10:00-12:00(R);14:30-18:00(R);;14:30-18:00(R);08:30-12:00(R);14:30-18:00(R);10:00-12:00(R);16:15-18:00(R)
36;;[];;RDV;;OUI;;09:25-14:00(R);14:00-19:45(R);09:25-14:00(R);14:00-19:45(R);09:25-14:00(R);14:00-19:45(R);09:25-14:00(R);14:00-19:45(R);09:25-14:00(R);14:00-19:45(R)
37;;[];;;;;;;;;;;;;;;
38;2023-11-14 10:00:00;[Timestamp('2023-11-14 10:00:00'), Timestamp('2023-07-04 11:30:00')];;RDV;;;;09:30-14:00(R);14:00-19:30(R);09:30-14:00(R);14:00-19:30(R);09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-19:30(R);09:30-14:00(R);14:00-19:30(R)
39;;[];;;;;;;;;;;;;;;
40;2023-11-22 11:00:00;[Timestamp('2023-11-22 11:00:00')];;;;;;09:30-12:00(R);14:00-19:00(R);09:30-12:00(R);14:00-19:00(R);;14:00-19:00(R);;15:30-19:00(R);;14:00-19:00(R)
41;;[];;;;;;;;;;;;;;;
42;;[];;;;;;;;;;;;;;;
43;2024-01-11 16:00:00;[Timestamp('2024-01-11 16:00:00')];True;RDV;CABINET COMMUN BARANES;OUI;;10:00-12:00(R);"14:00-16:00(D)
16:00-19:00(R)";10:00-12:00(R);"14:00-16:00(D)
16:00-19:00(R)";10:00-12:00(R);"14:00-16:00(D)
16:00-19:00(R)";10:00-12:00(R);"14:00-16:00(D)
16:00-19:00(R)";10:00-12:00(R);"14:00-16:00(D)
16:00-19:00(R)"
44;2023-09-11 14:00:00;[Timestamp('2023-09-11 14:00:00'), Timestamp('2023-07-10 14:00:00')];;L;;;;13:00-14:00(R);"14:00:00
14:00-17:00(R)";13:00-14:00(R);"14:00:00
14:00-17:00(R)";;;13:00-14:00(R);14:00-17:00(R);13:00-14:00(R);14:00-17:00(R)
45;2023-09-21 14:20:00;[Timestamp('2023-09-21 14:20:00')];;RDV;;;;;;;;;;;;;
46;;[];;;;;;;;;;;;;;;
47;2023-10-03 00:00:00;[];True;RDV;;OUI;;;;;;;;;;;
