id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
189;;[];;;;;;;;;;;;;;;
190;;[];;;;;;09:00-13:00(R);;;;;;;;;
191;2024-01-29 09:00:00;[Timestamp('2024-01-29 09:00:00'), Timestamp('2023-07-26 14:00:00')];;;;;;;;;;;;;;;
192;2023-11-15 15:00:00;[Timestamp('2023-11-15 15:00:00')];;;;;;;;;;;;;;;
193;2024-02-29 09:30:00;[Timestamp('2024-02-29 09:30:00'), Timestamp('2023-12-05 11:30:00')];;;;;;;;;;;;;;;
194;;[];;;;;;;;;;;;;;;
195;2023-09-14 11:35:00;[Timestamp('2023-09-14 11:35:00')];;;;;;;;;;;;;;;
196;;[];;;;PVM1;;;;;;;;;;;
197;2023-10-25 17:00:00;[Timestamp('2023-10-25 17:00:00')];;;;;;;;;;;;;;;
198;2023-09-29 10:20:00;[Timestamp('2023-09-29 10:20:00')];;;;;;;;;;;;;;;
199;;[];;;;;;;;;;;;;;;
200;;[];;;;;;;;;;;;;;;
201;;[];;;;;;;;;;;;;;;
202;2023-10-25 15:30:00;[Timestamp('2023-10-25 15:30:00'), Timestamp('2023-10-25 15:30:00')];;;;;;13:00-14:00(R);14:00-20:30(R);13:00-14:00(R);14:00-20:30(R);;;13:00-14:00(R);14:00-20:30(R);13:00-14:00(R);14:00-20:30(R)
203;2023-07-04 12:00:00;[Timestamp('2023-07-04 12:00:00')];;RDV;INSCR. MA 14h`;OUI;;;;;;;;;;;
204;2023-06-30 14:00:00;[Timestamp('2023-06-30 14:00:00')];True;RDV;;OUI;;;;;;;;;;;
205;2023-07-13 15:00:00;[Timestamp('2023-07-13 15:00:00')];;;;;;;;;;;;;;;
206;2023-07-19 11:00:00;[Timestamp('2023-07-19 11:00:00')];;;;;;;;;;;;;;;
207;;[];;;;;;09:00-14:00(R);14:00-18:00(R);09:00-14:00(R);14:00-18:00(R);09:00-14:00(R);14:00-18:00(R);09:00-13:00(R);;09:00-14:00(R);14:00-18:00(R)
208;2024-01-17 09:00:00;[Timestamp('2024-01-17 09:00:00'), Timestamp('2023-09-28 14:00:00'), Timestamp('2023-09-26 10:30:00'), Timestamp('2023-06-28 14:00:00')];True;;;OUI;;09:30-13:30(R);;09:30-13:30(R);14:00-17:30(R);09:30-13:30(R);;09:30-13:30(R);14:00-18:15(R);09:30-13:30(R);
209;;[];;;NRP?;;;;;;;;;;;;
210;;[];;;;;;;;;;;;;;;
211;;[];;;;;;10:00-12:00(R);14:00-16:30(R);;;;;10:00-12:00(R);14:00-16:30(R);10:00-12:00(R);14:00-16:30(R)
212;;[];;;;;;;;;;;;;;;
213;;[];;;;;;09:00-13:00(R);14:00-18:00(R);09:00-13:00(R);14:00-18:00(R);09:00-13:00(R);14:00-18:00(R);09:00-13:00(R);14:00-18:00(R);09:00-13:00(R);14:00-18:00(R)
214;;[];;;;;;;;;;;;;;;
215;;[];;;;;;;;;;;;;;;
216;;[];;;;;;;;;;;;;;;
217;2024-02-21 15:00:00;[Timestamp('2024-02-21 15:00:00'), Timestamp('2023-07-07 11:00:00')];;;;;;;;;;;;;;;OK
218;;[];;;;;;;;;;;;;;;
219;2024-02-23 12:30:00;[Timestamp('2024-02-23 12:30:00')];;;;;;;;;;;;;;;
220;2023-10-05 00:00:00;[];;;;;;;;;;;;;;;
221;;[];;;;;;;;;;;;;;;
222;;[];;;;;;"11:30-13:30(D)
09:30-11:00(R)";14:00-17:00(R);13:00-14:00(R);14:00-17:30(R);;;13:00-14:00(R);14:00-17:30(R);"11:30-13:30(D)
09:30-11:00(R)";14:00-16:30(R)
223;2023-12-14 15:30:00;[Timestamp('2023-12-14 15:30:00'), Timestamp('2023-07-17 14:00:00')];;L;;;;;;;14:00-16:00;;;;14:00-16:00;;
224;;[];;;;;;09:30-14:00(R);14:00-19:00(R);;14:30-19:00(R);09:30-14:00(R);14:00-19:00(R);;;09:30-14:00(R);14:00-19:00(R)
225;;[];;;;;;;;;;;;;;;
226;;[];;;;;;;;;;;;;;;
227;2023-12-20 14:30:00;[Timestamp('2023-12-20 14:30:00'), Timestamp('2023-12-05 16:00:00'), Timestamp('2023-08-30 14:30:00')];;;;;;;;;;;;;;;
228;2023-09-22 14:00:00;[Timestamp('2023-09-22 14:00:00')];;;;;;;;;;;;;;;
229;2023-11-30 12:00:00;[Timestamp('2023-11-30 12:00:00')];;;GASTRO ENTÉRO;;;;;;;;;;;;
230;;[];;;;;;;;;;;;;;;
231;;[];;;NÉONAT;;;;;;;;;;;;
232;;[];;;;;;;;;;;;;;;
233;2024-02-15 17:00:00;[Timestamp('2024-02-15 17:00:00')];;;;;;;;;;;;;;;
234;2023-10-10 13:30:00;[Timestamp('2023-10-10 13:30:00')];;;;;;;;;;;;;;;
235;;[];;;;;;;;;;;;;;;
236;2023-11-22 10:00:00;[Timestamp('2023-11-22 10:00:00')];;L;;;;08:00-10:00;"14;00-18;00";;;09:00-0102:00;14:00-18:00;;14:00-18:00;08:00-12:00;14:00-17:00
237;;[];;;;;;;;;;;;;;;
238;;[];;;;;;;;;;;;;;;
239;2023-12-20 13:00:00;[Timestamp('2023-12-20 13:00:00'), Timestamp('2023-08-30 13:00:00')];True;;;OUI;;09:00-12:00(R);14:00-18:00(R);09:00-12:00(R);14:00-18:00(R);09:00-12:00(R);14:00-18:00(R);09:00-12:00(R);14:00-18:00(R);09:00-12:00(R);14:00-18:00(R)
240;;[];;;;;;;;;;;;;;;
241;;[];;;;;;;;;;;;;;;
242;;[];;;;;;;;;;;;;;;
243;;[];;;;;;09:00-13:00(R);14:00-19:00(R);;;;;09:00-13:00(R);14:00-19:00(R);;
244;;[];;;CRÉATION;PVM1;;;;;;;;;;;
245;;[];;;;;;08:00-12:30(R);;13:30-14:00(R);14:00-18:30(R);08:00-12:30(R);;13:30-14:00(R);14:00-18:30(R);08:00-12:30(R);
246;;[];;;;;;;;;;;;;;;
247;;[];;;;;;;;09:00-13:00(R);;;;09:00-13:00(R);;09:00-14:00(?);14:00-18:30(?)
248;2023-11-03 16:00:00;[Timestamp('2023-11-03 16:00:00')];;;;;;;;;;;;;;;
249;;[];;;;PVM1;;;;;;;;;;;
250;;[];;;;PVM1;;;;;;;;;;;
251;2023-09-15 14:45:00;[Timestamp('2023-09-15 14:45:00')];;;;;;;;;;;;;;;
252;;[];;;ESTHETIQUE;;;;;;;;;;;;
253;;[];;;;;;;;;;;;;;;
254;;[];;;;;;;;;;;;;;;
255;;[];;;;;;;;;;;;;;;
256;;[];;;;;;;;;;;;;;;
257;;[];;;NUMÉRO NON ATTRIBUÉ – PAS D’AUTRE;;;;;;;;;;;;
258;;[];;;;;;;;;;;;;;;
259;;[];;;;;;;;;;;;;;;
260;;[];;;;;;;;;;;;;;;
261;2023-11-24 15:30:00;[Timestamp('2023-11-24 15:30:00')];;;;;;;;;;;;;;;
262;;[];;;;;;;;;;;;;;;
263;;[];;;;;;09:00-13:00(R);14:00-19:00(R);09:00-13:00(R);14:00-19:00(R);;;09:00-13:00(R);14:00-19:00(R);09:00-13:00(R);14:00-17:00(R)
264;2023-10-02 00:00:00;[];;;;;;;;;;;;;;;
265;2023-09-08 10:00:00;[Timestamp('2023-09-08 10:00:00')];;;;;;;;;;;;;;;
266;;[];;;;;;;;;;;;;;;
267;;[];;;;;;09:00-14:00(R);14:00-16:00(R);09:00-14:00(R);14:00-19:30(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-18:00(R)
268;;[];;;;PVM1;;;;;;;;;;;
269;;[];;;;;;;;;;;;;;;
270;2024-02-19 12:00:00;[Timestamp('2024-02-19 12:00:00')];;;;;;;;;;;;;;;
271;2024-01-18 16:00:00;[Timestamp('2024-01-18 16:00:00'), Timestamp('2023-11-10 12:00:00')];True;;;OUI;;;;;;;;;;;
272;2023-09-21 15:30:00;[Timestamp('2023-09-21 15:30:00')];;HC;NRP;;;;;;;;;;;;
273;2023-09-01 11:00:00;[Timestamp('2023-09-01 11:00:00')];;;;;;;;;;;;;;;
274;2023-12-14 14:00:00;[Timestamp('2023-12-14 14:00:00'), Timestamp('2023-07-17 15:00:00')];;L;REPRODUCTION;;;;;;;;;;;;
275;;[];;;;;;;;;;;;;;;
276;2024-02-05 15:30:00;[Timestamp('2024-02-05 15:30:00')];;;;;;;;;;;;;;;
277;;[];;;;;;09:15-11:30(R);;09:15-14:00(R);14:00-19:00(R);09:15-11:30(R);;09:15-14:00(R);14:00-19:00(R);09:15-11:30(R);
278;2023-12-20 09:30:00;[Timestamp('2023-12-20 09:30:00'), Timestamp('2023-08-30 09:30:00')];;;;;;;;;;;;;;;
279;;[];;;;;;;;;;;;;;;
280;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
281;;[];;;;;;08:30-13:35(R);;;;;;09:30-14:00(R);14:00-19:00(R);;
282;;[];;;;;;;;;;;;;;;
283;2024-01-18 09:00:00;[Timestamp('2024-01-18 09:00:00'), Timestamp('2023-09-07 11:00:00')];True;L;;OUI;;;;;14:00-18:00;;14:00-18:00;09:00-12:00;;;
284;2023-11-02 11:00:00;[Timestamp('2023-11-02 11:00:00')];;;;;;09:00-13:00(R);;;14:30-19:00(R);09:30-12:30(R);;;14:30-19:00(R);09:00-14:00(?);14:00-17:00(?)
285;2023-10-24 17:00:00;[Timestamp('2023-10-24 17:00:00')];;;;;;;;;;;;;;;
286;;[];;;;;;;;;;;;;;;
287;2023-10-23 12:00:00;[Timestamp('2023-10-23 12:00:00')];;;;;;;;;;;;;;;
288;;[];;;;;;;;;;;;;;;
289;;[];;;;;;12:00-14:00(R);14:00-19:00(R);12:00-14:00(R);14:00-19:00(R);12:00-14:00(R);14:00-19:00(R);12:00-14:00(R);14:00-19:00(R);12:00-14:00(R);14:00-19:00(R)
290;;[];;;;;;;;;;;;;;;
291;;[];;;;;;;;;;;;;;;
292;;[];;;;;;;;;;;;;;;
293;2023-11-10 14:00:00;[Timestamp('2023-11-10 14:00:00')];;;;;;;;;;8-12;13-18;;;;
294;2023-12-14 00:00:00;[];;;PMI;;;;;;;;;;;;
295;;[];;;;;;;;;;;;;;;
296;;[];;;;PVM1;;;;;;;;;;;
297;;[];True;?;CALL > 05/02/24;?;;;;;;;;;;;
298;;[];;;;PVM1;;;;;;;;;;;
299;;[];;;;PVM1;;;;;;;;;;;
300;;[];;;;;;09:00-14:00(?);14:00-19:30(?);09:00-14:00(?);14:00-19:30(?);09:00-14:00(?);14:00-19:30(?);09:00-14:00(?);14:00-19:30(?);09:00-14:00(?);14:00-19:30(?)
301;;[];;;;;;;;;;;;;;;
302;2023-07-28 00:00:00;[];;NRP;RETRAITE PROCHE;;;;14:00-19:30(R);;14:00-19:30(R);;14:00-19:30(R);;14:00-19:30(R);;14:00-19:30(R)
303;;[];;NPAI;;;;;;;;;;;;;
304;2023-07-21 11:00:00;[Timestamp('2023-07-21 11:00:00'), Timestamp('2023-07-05 15:30:00')];True;RDV;;OUI;;;;;;;;;;;
305;2023-10-05 00:00:00;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-18:30(R);10:00-14:00(R);14:00-18:30(R);10:00-14:00(R);14:00-18:30(R);09:00-14:00(R);14:00-18:30(R)
306;;[];;;;;;;;;;;;;;;
307;;[];;;;;;08:30-10:00(R);15:00-19:30(R);08:30-12:00(R);15:00-19:30(R);08:30-12:00(R);15:00-19:30(R);08:30-11:00(R);14:00-19:00(R);08:30-12:00(R);15:00-19:30(R)
308;;[];;;;;;;;;;;;;;;
309;;[];;;;;;09:00-11:00(R);14:00-20:00(R);09:00-11:00(R);14:00-20:00(R);09:00-14:00(D);15:00-19:00(R);09:00-14:00(D);15:00-19:00(R);09:00-12:00(D);14:00-17:00(R)
310;;[];;;;;;08:00-14:00(R);14:00-21:00(R);08:00-14:00(R);14:00-21:00(R);08:00-14:00(R);14:00-21:00(R);08:00-14:00(R);14:00-21:00(R);08:00-14:00(R);14:00-21:00(R)
311;;[];True;;;;;11:00-14:00(R);14:00-19:00(R);08:30-14:00(R);14:00-16:00(R);08:30-14:00(R);14:00-16:00(R);11:00-14:00(R);14:00-19:00(R);08:30-14:00(R);14:00-17:00(R)
312;2023-10-02 00:00:00;[];;;;;;08:15-14:00(R);14:00-21:30(R);09:30-14:00(R);14:00-21:30(R);08:15-14:00(R);14:00-21:30(R);09:30-14:00(R);14:00-21:30(R);08:15-14:00(R);14:00-21:30(R)
313;2024-01-19 14:30:00;[Timestamp('2024-01-19 14:30:00'), Timestamp('2023-09-29 11:00:00')];True;;;OUI;;08:00-13:00(D);"17:15-20:00(L)
14:00-17:00(R)";08:00-13:00(D);"17:15-20:00(L)
14:00-17:00(R)";08:00-13:00(D);"17:15-20:00(L)
14:00-17:00(R)";08:00-13:00(D);;08:00-13:00(D);"17:15-20:00(L)
14:00-17:00(R)"
314;;[];;RDV;;;;09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R)
315;2023-11-09 14:30:00;[Timestamp('2023-11-09 14:30:00')];;;;;;;;;;;;;;;
316;;[];;;;;;;;;;;;;;;
317;2024-01-19 11:30:00;[Timestamp('2024-01-19 11:30:00'), Timestamp('2023-09-25 09:30:00'), Timestamp('2023-06-28 09:30:00')];True;;;OUI;;09:00-13:00(R);14:00-20:00(R);09:00-13:00(R);14:00-20:00(R);09:00-13:00(R);14:00-17:00(R);09:00-13:00(R);;;14:00-20:00(R)
318;2024-01-12 15:00:00;[Timestamp('2024-01-12 15:00:00'), Timestamp('2023-09-26 15:00:00'), Timestamp('2023-07-06 11:30:00')];True;RDV;;OUI;;;17:00-19:00(?);;17:00-19:00(?);;17:00-19:00(?);;17:00-19:00(?);;17:00-19:00(?)
319;;[];True;;;;;;;;;;;;;;
320;;[];;;;;;;;;;;;;;;
321;;[];;;;;;;;;;;;;;;
322;;[];;;;;;09:00-12:00(D);14:30-21:30(R);09:00-12:00(D);14:30-21:30(R);09:00-12:00(D);14:30-21:30(R);09:00-12:00(D);14:30-21:30(R);09:00-12:00(D);" 
14:30-21:30(R)"
323;2023-10-17 15:30:00;[Timestamp('2023-10-17 15:30:00')];;RDV;;;;09:00-14:00(R);;09:00-14:00(R);14:00-20:00(R);11:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-20:00(R);;
324;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
325;;[];;;;;;;;;;;;;;;
326;;[];;;;;;;;;;;;;;;
327;;[];;;;;;;;;;;;;;;
328;;[];;;;PVM1;;;;;;;;;;;
329;2023-12-14 10:00:00;[Timestamp('2023-12-14 10:00:00'), Timestamp('2023-09-08 09:00:00'), Timestamp('2023-06-30 10:00:00')];;L;;;;;;;;;;;;;
330;;[];;;;;;10:00-14:00(R);14:00-19:00(R);10:00-14:00(R);14:00-19:00(R);;;10:00-14:00(R);14:00-19:00(R);10:00-14:00(R);14:00-19:00(R)
331;2023-12-05 12:30:00;[Timestamp('2023-12-05 12:30:00')];;;;;;;;;;;;;;;
332;;[];;;;;;;;;;;;;;;
333;2023-07-04 10:00:00;[Timestamp('2023-07-04 10:00:00')];;;;;;;;;;;;;;;
334;;[];;;;;;09:00-14:00(R);14:00-17:00(R);09:00-14:00(R);14:00-19:00(R);09:00-12:00(R);;09:00-14:00(R);;09:00-14:00(R);14:00-17:00(R)
335;;[];;;;;;09:30-14:00(R);14:00-20:00(R);08:30-14:00(R);14:00-20:00(R);09:30-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);08:30-14:00(R);14:00-20:00(R)
336;;[];;;;;;;;;;;;;;;
337;;[];;;;;;09:15-14:00(D);15:00-19:00(R);09:15-11:45(R);"14:00-15:00(D)
15:00-19:00(R)";09:15-11:45(R);"14:00-15:00(D)
15:00-19:00(R)";09:15-11:45(R);14:00-15:00(D);09:15-11:45(R);"14:00-15:00(D)
15:00-19:00(R)"
338;;[];;;;;;;;;;;;;;;
339;;[];;;;;;;;;;;;;;;
340;2023-09-18 16:15:00;[Timestamp('2023-09-18 16:15:00')];;;;PVM1;;;;;;;;;;;
341;2023-10-11 15:30:00;[Timestamp('2023-10-11 15:30:00')];;;;;;09:00-13:00(R);15:00-19:00(R);09:00-13:00(R);15:00-19:00(R);09:00-13:00(R);15:00-19:00(R);09:00-13:00(R);15:00-19:00(R);09:00-13:00(R);15:00-19:00(R)
342;;[];;;;;;10:30-14:00(R);14:00-19:40(R);10:30-14:00(R);14:00-18:30(R);12:00-14:00(R);14:00-18:30(R);10:30-14:00(R);14:00-19:40(R);10:30-14:00(R);14:00-19:40(R)
343;;[];;;;;;07:30-14:00(R);14:00-17:30(R);07:30-14:00(R);14:00-17:30(R);07:30-14:00(R);14:00-17:30(R);07:30-14:00(R);14:00-17:30(R);07:30-14:00(R);14:00-17:30(R)
344;2023-11-20 13:30:00;[Timestamp('2023-11-20 13:30:00')];;;;;;;;;;;;;;;
345;2023-10-02 00:00:00;[];;;;PVM1;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-13:00(R);;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
346;;[];;;;;;;;;;;;;;;
347;;[];;;;;;;;;;;;;;;
348;;[];;;;PVM1;;;;;;;;;;;
349;;[];;;;PVM1;;;;;;;;;;;
350;;[];;;;;;;;;;;;;;;
351;2024-01-09 15:30:00;[Timestamp('2024-01-09 15:30:00')];True;;;OUI;;;;;;;;;;;
352;2024-02-15 12:30:00;[Timestamp('2024-02-15 12:30:00')];;;;;;;;;;;;;;;
353;;[];;;;;;09:30-14:00(R);14:00-19:00(R);09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-17:30(R)
354;;[];;;;;;;;;;;;;;;
355;;[];;;;;;;;;;;;;;;
356;;[];;;;;;;;;;;;;;;
357;2023-10-24 11:30:00;[Timestamp('2023-10-24 11:30:00')];;;;;;;;;;;;;;;
358;;[];;;;;;;;;;;;;;;
359;2023-10-24 15:30:00;[Timestamp('2023-10-24 15:30:00')];;;;;;;;;;;;;;;
360;2023-10-23 16:00:00;[Timestamp('2023-10-23 16:00:00')];;;;;;;;;;;;;;;
361;;[];;;;;;;;;;;;;;;
362;2023-12-21 10:30:00;[Timestamp('2023-12-21 10:30:00'), Timestamp('2023-08-31 10:00:00')];;;;;;;;;;;;;;;
363;2023-12-05 14:30:00;[Timestamp('2023-12-05 14:30:00')];;;;;;;;;;;;;;;
364;2023-09-22 09:20:00;[Timestamp('2023-09-22 09:20:00')];;;;;;;;;;;;;;;
365;;[];;;;;;;;;;;;;;;
366;;[];;;;PVM1;;;;;;;;;;;
367;;[];;;;;;;;;;;;;;;
368;;[];;;;;;08:15-14:00(R);14:00-16:30(R);08:15-14:00(R);14:00-16:30(R);08:15-14:00(R);14:00-16:30(R);08:15-14:00(R);14:00-16:30(R);08:15-14:00(R);14:00-16:30(R)
369;2023-11-30 10:30:00;[Timestamp('2023-11-30 10:30:00')];;;;;;;;;;;;;;;
370;;[];;;;;;;;;;;;;;;
371;;[];;;;;;;;;;;;;;;
372;;[];;;;;;;;;;;;;;;
373;;[];;;;;;;;;;;;;;;
374;2023-12-01 11:30:00;[Timestamp('2023-12-01 11:30:00'), Timestamp('2023-10-13 14:00:00')];;;;;;;;;;;;;;;
375;2024-01-09 11:00:00;[Timestamp('2024-01-09 11:00:00')];True;;;OUI;;;;;;;;;;;
376;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-18:30(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
377;;[];;;;;;;;;;;;;;;
378;;[];;;;;;;;;;;;;;;
379;2023-10-05 00:00:00;[];;;;;;;;;;;;;;;
380;;[];;;;;;10:00-14:00(R);14:00-18:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);12:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
381;2023-10-09 11:30:00;[Timestamp('2023-10-09 11:30:00')];;;;;;;14:00-19:30(R);08:30-13:30(R);;;14:00-19:30(R);;14:00-19:30(R);08:30-13:30(R);
382;2024-01-05 16:00:00;[Timestamp('2024-01-05 16:00:00'), Timestamp('2023-07-11 15:00:00')];True;;;OUI;;08:30-14:00(R);14:00-18:00(R);08:30-14:00(R);14:00-18:00(R);08:30-14:00(R);14:00-18:00(R);08:30-14:00(R);14:00-18:00(R);08:30-14:00(R);14:00-18:00(R)
383;;[];;;;;;;;;;;;;;;
384;;[];;;;PVM1;;;;;;;;;;;
385;;[];;;;;;;;;;;;;;;
386;;[];;;;;;;;;;;;;;;
387;2023-11-03 11:00:00;[Timestamp('2023-11-03 11:00:00')];;;;;;;;;;;;;;;
388;;[];;;;;;;;;;;;;;;
389;;[];;;;;;;;;;;;;;;
390;2023-09-13 12:00:00;[Timestamp('2023-09-13 12:00:00'), Timestamp('2023-07-12 12:00:00')];;RDV;;;;;;;;;;;;;
391;2023-11-23 09:30:00;[Timestamp('2023-11-23 09:30:00')];;;;PVM1;;09:00-14:00(R);14:00-18:20(R);09:00-14:00(?);14:00-18:00(?);09:00-14:00(R);14:00-18:20(R);09:40-14:00(R);14:00-18:40(R);09:00-13:30(?);
392;2023-11-30 14:00:00;[Timestamp('2023-11-30 14:00:00')];;;;;;;;;;;;;;;
393;2023-11-06 15:00:00;[Timestamp('2023-11-06 15:00:00')];;;;;;;;;;;;;;;
394;;[];;;;PVM1;;;;;;;;;;;
395;;[];;;;PVM1;;;;;;;;;;;
396;;[];;;;;;;;;;;;;;;
397;;[];;;;;;;;;;;;;;;
398;;[];;;;;;;;;;;;;;;
399;;[];;;;PVM1;;;;;;;;;;;
400;;[];;;;PVM1;;;;;;;;;;;
401;;[];;;;;;;;;;;;;;;
402;;[];;;;PVM1;;;;;;;;;;;
403;;[];;;;PVM1;;;;;;;;;;;
404;;[];;;;;;;;;;;;;;;
405;;[];;;;;;;;;;;;;;;
406;;[];;;;;;;;;;;;;;;
407;2024-02-21 13:00:00;[Timestamp('2024-02-21 13:00:00')];;;;;;;;;;;;;;;
408;;[];;;;PVM1;;;;;;;;;;;
409;;[];;;;;;;;;;;;;;;
410;;[];;;;PVM1;;;;;;;;;;;
411;;[];;;;;;;;09:00-13:00(R);;;;09:00-13:00(R);;;
412;;[];;;;;;09:00-14:00(?);14:00-18:00(?);09:00-14:00(?);14:00-18:30(?);09:00-12:00(?);;09:00-14:00(?);14:00-18:30(?);;14:00-18:00(?)
413;;[];;;;PVM1;;;;;;;;;;;
414;;[];;;;PVM1;;09:30-13:00(R);;09:30-14:00(R);14:00-19:00(R);;14:30-19:00(R);09:30-13:00(R);14:00-19:00(D);09:30-14:00(R);14:00-20:00(R)
415;2023-11-20 09:30:00;[Timestamp('2023-11-20 09:30:00')];;;;;;;;;;;;;;;
416;;[];;;;;;;;;;;;;;;
417;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-11:30(R);;09:00-14:00(R);14:00-17:00(R);09:00-11:30(R);;09:00-11:30(R);
418;;[];;;;;;;;;;;;;;;
419;;[];;;;;;;;;;;;;;;
420;;[];;;;;;;;;;;;;;;
421;;[];;;;;;;;;;;;;;;
422;;[];;;;;;;;;;;;;;;
423;;[];;;;;;;;;;;;;;;
424;;[];;;;;;;;;;;;;;;
425;;[];;;;;;;;;;;;;;;
426;;[];;;;PVM1;;;;;;;;;;;
427;2023-07-03 10:00:00;[Timestamp('2023-07-03 10:00:00')];;RDV;;;;;14:00-18:30(R);;14:00-18:30(R);;14:00-18:30(R);;14:00-18:30(R);;14:00-18:30(R)
428;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:30-14:00(R);14:00-16:45(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
429;;[];;;;PVM1;;;;;;;;;;;
430;;[];True;;;;;;;;;;;;;;
431;;[];;;;;;08:00-14:00(R);14:00-19:30(R);08:00-14:00(R);14:00-19:30(R);08:00-13:00(R);;08:00-14:00(R);14:00-19:30(R);08:00-14:00(R);14:00-19:30(R)
432;;[];;;;PVM1;;10:00-14:00(R);14:00-15:00(R);10:00-14:00(R);14:00-15:00(R);10:00-14:00(R);14:00-15:00(R);10:00-14:00(R);14:00-15:00(R);10:00-14:00(R);14:00-15:00(R)
433;;[];;;;;;;;;;;;;;;
434;;[];;;;;;08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R)
435;2024-01-18 15:00:00;[Timestamp('2024-01-18 15:00:00'), Timestamp('2023-12-07 14:30:00'), Timestamp('2023-09-07 14:00:00')];True;;;OUI;;;;;;;;9-12;14-18;9-12;14-18
436;;[];;;;;;;;;;;;;;;
437;;[];;;;;;;;;;;;;;;
438;;[];;;;;;;;;;;;;;;
439;;[];;;;;;;;;;;;;;;
440;;[];;;;;;10:30-14:00(R);14:00-19:00(R);10:30-14:00(R);14:00-18:30(R);;;;14:00-19:00(R);10:30-13:30(R);
441;;[];;;;;;;;;;;;;;;
442;;[];;;;;;;;;;;;;;;
443;2023-11-02 16:00:00;[Timestamp('2023-11-02 16:00:00')];;;;;;;;;;;;;;;
444;2023-11-13 10:30:00;[Timestamp('2023-11-13 10:30:00')];;;;;;;;;;;;;;;
445;;[];;;;;;10:30-14:00(R);14:00-19:30(R);10:30-14:00(R);14:00-19:30(R);10:30-14:00(R);14:00-19:30(R);10:30-14:00(R);14:00-19:30(R);10:30-14:00(R);14:00-19:30(R)
446;;[];;;;;;;;;;;;;;;
447;;[];;;;;;;;;;;;;;;
448;;[];;;;;;;;;;;;;;;
449;;[];;;;;;;;;;;;;;;
450;;[];;;;;;;;;;;;;;;
451;2023-11-17 13:00:00;[Timestamp('2023-11-17 13:00:00')];;;;;;;;;;;;;;;
452;;[];;;;PVM1;;;;;;;;;;;
453;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
454;2023-11-17 15:00:00;[Timestamp('2023-11-17 15:00:00')];;;;;;10:30-14:00(R);"14:00-17:30(R)
18:30-19:30(R)";08:30-14:00(R);14:00-19:30(R);08:30-9:40(R);17:30-19:30(R);10:00-14:00(R);14:00-17:30(R);09:00-14:00(R);14:00-18:30(R)
455;;[];;;;;;;;;;;;;;;
456;;[];;;;;;09:00-14:00(R);14:00-15:00(R);;14:00-18:30(R);09:00-14:00(R);14:00-18:30(R);;;09:30-14:00(R);14:00-18:30(R)
457;;[];;;;;;09:40-13:00(R);14:00-19:00(R);09:40-13:00(R);14:00-19:00(R);09:40-13:00(R);14:00-19:00(R);09:40-13:00(R);14:00-19:00(R);09:40-13:00(R);14:00-19:00(R)
458;;[];;;;;;08:30-14:00(R);14:00-19:00(R);08:30-14:00(R);14:00-19:00(R);08:30-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-18:00(R);08:00-14:00(R);14:00-18:00(R)
